ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
1,3,2021-07-26 17:21,Mon Jul 26 2021 10:21:45 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:21:49 GMT-0700 (Pacific Daylight Time),4096,practice,3,-1,sankey,A,sample,1,1,0,1,1
2,3,2021-07-26 17:22,Mon Jul 26 2021 10:21:49 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:22:36 GMT-0700 (Pacific Daylight Time),46997,practice,3,-1,sankey,A,sample,2,1,3,2,1
3,3,2021-07-26 17:22,Mon Jul 26 2021 10:22:36 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:22:40 GMT-0700 (Pacific Daylight Time),3089,practice,3,-1,sankey,A,sample,3,1,0,3,1
4,3,2021-07-26 17:22,Mon Jul 26 2021 10:22:40 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:22:43 GMT-0700 (Pacific Daylight Time),2877,practice,3,-1,sankey,A,sample,4,1,0,4,1
5,3,2021-07-26 17:22,Mon Jul 26 2021 10:22:43 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:22:51 GMT-0700 (Pacific Daylight Time),8298,practice,3,-1,sankey,A,sample,5,1,1,5,1
6,3,2021-07-26 17:23,Mon Jul 26 2021 10:22:56 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:23:06 GMT-0700 (Pacific Daylight Time),10080,practice,3,-1,chord,B,sample,1,1,1,6,1
11,3,2021-07-26 17:23,Mon Jul 26 2021 10:23:06 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:23:22 GMT-0700 (Pacific Daylight Time),15653,practice,3,-1,chord,B,sample,2,1,2,7,1
13,3,2021-07-26 17:23,Mon Jul 26 2021 10:23:22 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:23:31 GMT-0700 (Pacific Daylight Time),9399,practice,3,-1,chord,B,sample,3,1,3,8,1
14,3,2021-07-26 17:23,Mon Jul 26 2021 10:23:32 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:23:38 GMT-0700 (Pacific Daylight Time),6133,practice,3,-1,chord,B,sample,4,1,2,9,1
22,3,2021-07-26 17:24,Mon Jul 26 2021 10:23:38 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:24:18 GMT-0700 (Pacific Daylight Time),40524,practice,3,-1,chord,B,sample,5,1,3,10,1
25,3,2021-07-26 17:24,Mon Jul 26 2021 10:24:33 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:24:39 GMT-0700 (Pacific Daylight Time),6470,study,3,1,sankey,A,space,1,1,1,1,1
32,3,2021-07-26 17:25,Mon Jul 26 2021 10:24:39 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:00 GMT-0700 (Pacific Daylight Time),20728,study,3,1,sankey,A,space,2,1,7,2,1
30,1,2021-07-26 17:24,Mon Jul 26 2021 10:24:46 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:24:53 GMT-0700 (Pacific Daylight Time),7590,practice,1,-1,chord,A,sample,1,1,0,1,1
38,1,2021-07-26 17:25,Mon Jul 26 2021 10:24:53 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:12 GMT-0700 (Pacific Daylight Time),18118,practice,1,-1,chord,A,sample,2,1,2,2,1
33,3,2021-07-26 17:25,Mon Jul 26 2021 10:25:00 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:05 GMT-0700 (Pacific Daylight Time),4813,study,3,1,sankey,A,space,3,1,1,3,1
34,3,2021-07-26 17:25,Mon Jul 26 2021 10:25:05 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:07 GMT-0700 (Pacific Daylight Time),2160,study,3,1,sankey,A,space,4,1,0,4,1
40,3,2021-07-26 17:25,Mon Jul 26 2021 10:25:07 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:16 GMT-0700 (Pacific Daylight Time),8334,study,3,1,sankey,A,space,5,1,3,5,1
41,1,2021-07-26 17:25,Mon Jul 26 2021 10:25:12 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:17 GMT-0700 (Pacific Daylight Time),5529,practice,1,-1,chord,A,sample,3,1,1,3,1
44,3,2021-07-26 17:25,Mon Jul 26 2021 10:25:18 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:23 GMT-0700 (Pacific Daylight Time),5159,study,3,1,chord,B,space,1,1,1,6,1
43,1,2021-07-26 17:25,Mon Jul 26 2021 10:25:18 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 10:25:23 GMT-0700 (Pacific Daylight Time),5476,practice,1,-1,chord,A,sample,4,1,3,4,1
